frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
137,59,[596.60 408.20 773.00 672.80],[679.88 581.27 753.22 627.87],0.0,18,0.9687582850456238
137,68,[481.80 248.80 526.80 305.00],,,,
137,70,[484.00 250.50 539.75 298.50],,,,
137,71,[152.80 233.80 246.00 298.20],,,,
138,55,[751.40 147.00 1273.20 584.20],[1063.64 225.02 1203.07 287.96],0.0,BMRCL,0.9881882667541504
138,56,[264.20 246.80 508.80 446.20],[209.25 362.23 324.44 401.63],0.0,KA01MJ0152,0.950167179107666
138,59,[597.80 412.60 773.80 672.40],"[679.2885665893555, 580.1037292480469, 753.4267120361328, 626.7502288818359]",0.7981446981430054,KL18R3138,0.8596199154853821
138,60,[528.60 315.00 605.60 444.40],,,,
138,68,[481.40 249.40 527.20 306.20],,,,
138,70,[483.67 250.67 539.67 298.33],,,,
138,71,[151.00 233.75 244.50 298.00],,,,
139,55,[751.40 147.00 1273.20 584.20],"[1078.9037780761719, 224.62940216064453, 1224.4853515625, 288.8572235107422]",0.49955371022224426,BMRCL,0.709338366985321
139,56,[211.00 242.80 500.00 472.20],"[190.6880111694336, 365.50575256347656, 309.4526062011719, 406.7908935546875]",0.7763395309448242,KA01MJ0152,0.8737303614616394
